file,year,max_sqft
27662336026710.json,1965,
19645191938919.json,1965,
19647336058218.json,1965,
34765056032932.json,1965,
34673146101844.json,1965,
09618386110456.json,1965,
44698076049852.json,1965,
30664566027551.json,1965,
01611926113815.json,1965,
39686760114876.json,1965,
33736766032361.json,1965,
45700296050355.json,1965,
19647251930411.json,1965,
34674396033831.json,1965,
41690706045041.json,1965,
19734451996560.json,1965,
19651360114439.json,1965,
07617390730440.json,1965,
37683386039630.json,1965,
43694506047260.json,1965,
15633216009153.json,1965,
51105120114207.json,1965,
37682966095053.json,1965,
38684786062046.json,1965,
37683616040356.json,1965,
36678766036909.json,1965,
19647336018543.json,1965,
19647336015721.json,1965,
51714645130075.json,1965,
19647336018113.json,1965,
30664316066815.json,1965,
49706156051593.json,1965,
27660926058713.json,1965,
19647336018386.json,1965,
34673306033187.json,1965,
19647336017073.json,1965,
36676376067052.json,1965,
43696416048326.json,1965,
37737916107148.json,1965,
34674396034177.json,1965,
19642871936384.json,1965,
43696746048870.json,1965,
34674396096150.json,1965,
19647336016398.json,1965,
28662906027049.json,1965,
36678766109714.json,1965,
44697996049738.json,1965,
36676783631769.json,1965,
04615316112999.json,1965,
25735934737250.json,1965,
19647336016232.json,1965,
37683386112478.json,1965,
34673140108738.json,1965,
51714236053318.json,1965,
01611926001176.json,1965,
45701364530200.json,1965,
43696176067227.json,1965,
15751686009476.json,1965,
49710196052344.json,1965,
30666476030027.json,1965,
45699556050207.json,1965,
10621666109961.json,1965,
19649076068787.json,1965,
19647336058127.json,1965,
19647330108910.json,1965,
04615150434803.json,1965,
30666700109066.json,1965,
30665973030186.json,1965,
34674476034482.json,1965,
34739736108948.json,1965,
19649806022602.json,1965,
33669936031652.json,1965,
36678433635042.json,1965,
19650946023477.json,1965,
15634616009500.json,1965,
07617546004220.json,1965,
19648166020721.json,1965,
19645276013353.json,1965,
33672070134981.json,1965,
19647336018410.json,1965,
50755640107979.json,1965,
27660506026124.json,1965,
33736760100255.json,1965,
39754996042881.json,1965,
53765135337456.json,1965,
19647336018105.json,1965,
49708470119750.json,1965,
07617546114904.json,1965,
30664496068571.json,1965,
01612756066492.json,1965,
57727106071278.json,1965,
30666213035409.json,1965,
50105045030226.json,1965,
19648570116558.json,1965,
44697650100388.json,1965,
30665223030103.json,1965,
33672310127761.json,1965,
07100740129684.json,1965,
43104390131748.json,1965,
12753741232909.json,1965,
19647330109439.json,1965,
19647336016265.json,1965,
34673306112916.json,1965,
48705816071302.json,1965,
15737426009294.json,1965,
56739405633250.json,1965,
36750693637584.json,1965,
19647330137091.json,1965,
01612590115600.json,1935,
19647336017024.json,1965,
19734606106918.json,1965,
43694500129247.json,1965,
19647336019939.json,1965,
24656316025340.json,1965,
42692116045546.json,1965,
33751926113641.json,1965,
30665636028997.json,1965,
33672156061790.json,1965,
