file,year,max_sqft
36676373631066.txt,1965,
37684116117154.txt,1965,
41690136044671.txt,1965,
01612346001481.txt,1965,
43697086049449.txt,1965,
10101080109991.txt,1965,
37684520100933.txt,1965,
07618040736819.txt,1965,
36677360136069.txt,1965,
20651856024111.txt,1965,
37680806117709.txt,1965,
15633210139808.txt,1965,
37684113731502.txt,1965,
16739326010565.txt,1965,
30664236027379.txt,1965,
50712906071583.txt,1965,
21654176058614.txt,1965,
52714726066328.txt,1965,
19647336019434.txt,1965,
49709200102533.txt,1965,
30664236027437.txt,1965,
07618126005185.txt,1965,
36677100108191.txt,1965,
37680076037766.txt,1965,
19647336016075.txt,1965,
36677776035992.txt,1965,
42692600116434.txt,1965,
42691046045256.txt,1965,
15633216008973.txt,1965,
15751686009476.txt,1965,
07617880730184.txt,1965,
33752423330560.txt,1965,
29663572930071.txt,1965,
19649806022636.txt,1965,
30664313030228.txt,1965,
19647336019350.txt,1965,
37680236037857.txt,1965,
19650456107205.txt,1965,
38684783830437.txt,1965,500
36677776035984.txt,1965,
37680806095046.txt,1965,
19646670133462.txt,1965,
30664236027353.txt,1965,
15633216008965.txt,1965,
19645686013643.txt,1949,
24736196103766.txt,1965,
19643116011753.txt,1965,
19647336016711.txt,1965,
36677106035836.txt,1965,
09618380137919.txt,1965,
39685696104020.txt,1965,
54722566054589.txt,1965,
34674473430493.txt,1965,
07618126005193.txt,1965,
37683386039747.txt,1965,
37684520100925.txt,1965,
19648736021380.txt,1965,
30665976029326.txt,1965,
16739326010573.txt,1965,
31668520121608.txt,1965,
47764554733309.txt,1965,
42692290100651.txt,1965,
56738745630256.txt,1965,
24657892430049.txt,1965,
01611760135244.txt,1965,
31669280141622.txt,1965,
37680076037758.txt,1965,
37683386039960.txt,1965,
19647330124388.txt,1965,
36750696037279.txt,1965,
01611766000830.txt,1965,
19647330125096.txt,1965,
30664726027676.txt,1965,
37681303730066.txt,1965,
30664986027999.txt,1965,
19647331930866.txt,1965,
31668456031165.txt,1965,
07618046108161.txt,1965,
33670903334687.txt,1965,
19651361996263.txt,1965,
07617960136903.txt,1965,
05615640531509.txt,1965,
30666706030415.txt,1965,
16639176010433.txt,1965,
01612346001440.txt,1965,
30664646111835.txt,1965,
19734376012264.txt,1965,
01611276116222.txt,1965,
19647330108886.txt,1965,
01612596001838.txt,1949,
30666216097364.txt,1965,
33672156032742.txt,1965,
15635030116715.txt,1965,
19734606023352.txt,1965,
30664646120356.txt,1965,
19648730141739.txt,1965,
36677773638616.txt,1965,
34673140137281.txt,1965,
44104470136572.txt,1965,
30665223033578.txt,1965,
04100410139493.txt,1965,
19647336017396.txt,1965,
37681976038533.txt,1965,
37680986038186.txt,1965,
30666700106567.txt,1965,
19734456014294.txt,1965,
34673303431533.txt,1965,
57727100101162.txt,1965,
37680986105944.txt,1965,
19647336019152.txt,1965,
36678760133892.txt,1965,
39685856098057.txt,1965,
33671576032353.txt,1965,
20652430134510.txt,1965,5250
16638910110858.txt,1965,
08618206005433.txt,1965,
54718116053854.txt,1965,
49709126052112.txt,1965,
24656316025373.txt,1965,
34674473430691.txt,1965,
33670906104491.txt,1965,
37680236095038.txt,1965,
49709126095459.txt,1965,
40688096043277.txt,1965,
36676110129452.txt,1965,
19644446012702.txt,1965,
19647336016513.txt,1965,
20652430118950.txt,1965,
36677856110050.txt,1965,
43696666048649.txt,1965,
19647336019608.txt,1965,
56725386111850.txt,1965,
19647336015754.txt,1965,
49709534930152.txt,1965,
27659616025993.txt,1965,
05615560530014.txt,1965,
27660920129239.txt,1965,
19647331934157.txt,1965,
36677856105449.txt,1965,
19645686099022.txt,1965,
37684113731064.txt,1965,
33751766120463.txt,1965,
01612596118616.txt,1965,
42693104231452.txt,1965,
57726940124875.txt,1965,
57726946120745.txt,1965,
33751926116438.txt,1965,
19643376066724.txt,1965,
19647330101444.txt,1965,
41689326043939.txt,1965,
15633216009104.txt,1965,
39685020126011.txt,1965,
19647250131938.txt,1965,
33671733330578.txt,1965,
34674473432051.txt,1965,
33671160116756.txt,1965,
58727365830096.txt,1965,
44697650100388.txt,1965,
11625966007454.txt,1965,
30736500129155.txt,1965,
36676786102974.txt,1965,
55724135530175.txt,1965,
37683380107094.txt,1965,
19647336017180.txt,1965,
54755235434931.txt,1965,
10739656006662.txt,1965,
15633216009138.txt,1965,
39685930101576.txt,1965,
34674393430519.txt,1965,
19101990115030.txt,1965,
19646676014757.txt,1965,
19647176015085.txt,1965,
34674473430097.txt,1965,
19650606023220.txt,1965,
10624141036086.txt,1965,
10738096005995.txt,1965,
19647336016315.txt,1965,
33670906105837.txt,1965,
33670336031736.txt,1965,
30666476085641.txt,1965,
01611760130062.txt,1965,
43694356117956.txt,1965,
01751010130583.txt,1965,
33751766111090.txt,1965,
33670330139782.txt,1965,
22655322230068.txt,1965,
19647256015309.txt,1935,
43696666060099.txt,1965,
30665226028369.txt,1965,
01100170131581.txt,1965,
07617546112395.txt,1965,
43694196046809.txt,1965,
51714645130018.txt,1965,
19646341936046.txt,1965,
19648816021778.txt,1965,
50710436052443.txt,1965,
16638916010334.txt,1965,
43693936046627.txt,1965,
30665226028427.txt,1965,
50711676052815.txt,1965,
30664640100917.txt,1965,
01612596057061.txt,1965,
49738826097059.txt,1965,
56739406055131.txt,1965,
20652430107938.txt,1965,
19647331932334.txt,1965,
21654172132272.txt,1965,
49104964930079.txt,1965,
15638420138701.txt,1965,
51714230132977.txt,1965,
15633216009070.txt,1965,
10621666006381.txt,1965,
37681060127241.txt,1965,
33670820102772.txt,1965,
30667466030720.txt,1965,
07618046117451.txt,1965,
50711346119002.txt,1965,
19734451935246.txt,1965,
50736015030036.txt,1965,
19647330135681.txt,1965,
07617546004246.txt,1965,
34674390101881.txt,1965,
41689166043756.txt,1965,
36679180108449.txt,1965,
19643521933951.txt,1965,
19647336017792.txt,1965,
43694356047146.txt,1965,
19647336058085.txt,1965,
37680980102590.txt,1965,
33670336116404.txt,1965,
43696666062103.txt,1965,
41690624135687.txt,1965,
16639740128702.txt,1965,
36750516035976.txt,1965,
19647906020424.txt,1965,
37684520111237.txt,1965,
33670330110106.txt,1965,
19646676109276.txt,1965,
37680236037923.txt,1965,
